bus_id,voltage,dc,symbol,under_construction,tags,x,y,country,voltage_num,network_country
way/133537926-220,220,f,Substation,f,way/133537926,19.2919537829105,50.16369508994721,PL,220,PL
way/255284259-220,220,f,Substation,f,way/255284259,18.23382697092811,52.3052255624166,PL,220,PL
way/29115701-220,220,f,Substation,f,way/29115701,20.877296701170323,52.21443954096647,PL,220,PL
way/293484891-220,220,f,Substation,f,way/293484891,19.328367738134983,51.316035643998106,PL,220,PL
way/86494356-400,400,f,Substation,f,way/86494356,18.10933402629953,54.71883295632564,PL,400,PL
way/111615226-380,380,f,Substation,f,way/111615226,15.1142920700991,51.09241175527245,PL,380,PL
way/173613665-220,220,f,Substation,f,way/173613665,23.292570654205857,50.71673595921313,PL,220,PL
way/215282393-400,400,f,Substation,f,way/215282393,21.87079962455832,50.19092652750792,PL,400,PL
way/255277953-400,400,f,Substation,f,way/255277953,17.87269532148616,50.74654469659753,PL,400,PL
way/255314292,450,t,Substation,f,way/255314292,16.89038355962467,54.50215260847132,PL,450,PL
way/303870256-400,400,f,Substation,f,way/303870256,22.30185788377095,53.75758694629275,PL,400,PL
way/39428977-400,400,f,Substation,f,way/39428977,14.476073038134764,53.19612477284646,PL,400,PL
